user_id,timestamp,action
25139,1606038165,MAKE_POST
27428,1602080431,VIEW_POST
16494,1565110253,VIEW_POST
13296,1587794192,MAKE_POST
1817,1531832070,MAKE_POST
13447,1565510918,MAKE_POST
18685,1572525335,VIEW_POST
20401,1599989712,MAKE_POST
25936,1604063561,MAKE_POST
17795,1604374003,MAKE_POST
20136,1582009101,MAKE_POST
21019,1581629251,VIEW_POST
31959,1609091963,MAKE_POST
16606,1582001447,MAKE_POST
19387,1586662924,MAKE_POST
702,1521097978,MAKE_POST
21581,1581366526,LOGOUT
16345,1578209150,MAKE_POST
1962,1525062551,MAKE_POST
21312,1595305790,MAKE_POST
6518,1542500704,VIEW_POST
10860,1571255559,VIEW_POST
6772,1575940229,MAKE_POST
438,1517325544,LOGOUT
18320,1595755458,MAKE_POST
6117,1568474962,MAKE_POST
10531,1547667418,VIEW_POST
13982,1594404003,VIEW_POST
21212,1594296591,MAKE_POST
1388,1549523474,MAKE_POST
6846,1547701502,LOGIN
20136,1587456540,MAKE_POST
17824,1571454151,LOGIN
22283,1606353621,MAKE_POST
7422,1547419796,VIEW_POST
1388,1534768495,MAKE_POST
12168,1560420438,VIEW_POST
30164,1608835558,LOGOUT
1068,1542785874,MAKE_POST
14976,1573987928,VIEW_POST
16837,1591096899,VIEW_POST
27299,1599358374,MAKE_POST
17340,1590842572,MAKE_POST
8465,1550948874,VIEW_POST
24481,1597712382,VIEW_POST
4203,1559620141,MAKE_POST
13014,1556688106,MAKE_POST
11188,1557657055,MAKE_POST
18701,1581809633,VIEW_POST
5440,1583953115,MAKE_POST
888,1541428431,MAKE_POST
12168,1580108011,MAKE_POST
2522,1552911634,MAKE_POST
20672,1582115560,MAKE_POST
29239,1604746550,VIEW_POST
25636,1603960744,VIEW_POST
27613,1608570460,VIEW_POST
893,1534399561,MAKE_POST
8672,1544865938,MAKE_POST
8029,1564301711,MAKE_POST
5990,1552006751,LOGOUT
13612,1568689067,MAKE_POST
24673,1601717891,MAKE_POST
7649,1565935793,MAKE_POST
14925,1582635342,LOGIN
13793,1561034611,MAKE_POST
19180,1574369514,VIEW_POST
22988,1590531155,LOGIN
8905,1550459362,MAKE_POST
5590,1554112496,VIEW_POST
1455,1520472555,MAKE_POST
10890,1561729535,VIEW_POST
18515,1577007739,MAKE_POST
22581,1590094287,MAKE_POST
28210,1601922482,VIEW_POST
9662,1554436880,MAKE_POST
20949,1605958901,MAKE_POST
27882,1606930615,LOGIN
11638,1572001320,VIEW_POST
25997,1599044228,MAKE_POST
1454,1552961190,MAKE_POST
2240,1524196122,VIEW_POST
22042,1599999283,VIEW_POST
24123,1604535234,VIEW_POST
22042,1587815916,MAKE_POST
18135,1582005227,MAKE_POST
4917,1535177774,VIEW_POST
5028,1563105328,MAKE_POST
5660,1549296733,LOGOUT
19998,1599925678,MAKE_POST
25872,1594574285,LOGIN
20047,1589108067,LOGOUT
23432,1605984119,MAKE_POST
11381,1551771579,MAKE_POST
6242,1539451918,LOGIN
